,months_as_customer,age,policy_number,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,days_since_policy_binding,fraud_satus,Contract Years,total_premiums_paid,net_value_of_customer,policy_bind_date_month,policy_bind_date_day,incident_date_month,incident_date_day,auto_make_encoded,auto_model_encoded,incident_city_encoded,incident_severity_encoded
0,328,48,521585,2,1,1000,1406.91,0,466132,1,4,2,17,0,53300,0,2,2,0,3,4,1,996,5,1,2,1,2,2,71610,6510,13020,52080,10,1,2004,1,100,0,27.333333333333332,38455.54,-33154.46,10,17,1,25,10,1,1,0
1,228,42,342868,1,1,2000,1197.22,5000000,468176,1,4,6,15,2,0,0,3,3,1,3,5,5,628,8,1,1,0,0,1,5070,780,780,3510,8,12,2007,1,3130,0,19.0,22747.18,17677.18,6,27,1,21,8,12,5,1
2,134,29,687698,2,0,2000,1413.14,5000000,430632,0,6,11,2,3,35100,0,0,1,1,3,1,1,685,7,3,0,2,3,0,34650,7700,3850,23100,4,30,2007,0,5282,1,11.166666666666666,15780.063333333334,-18869.93666666667,9,6,2,22,4,30,1,1
3,256,41,227811,0,1,2000,1415.74,6000000,608117,0,6,1,2,4,48900,-62400,2,0,0,3,2,0,669,5,1,1,1,2,0,63400,6340,6340,50720,3,34,2014,1,8996,0,21.333333333333332,30202.453333333335,-33197.54666666666,5,25,1,10,3,34,0,0
4,228,44,367455,0,2,1000,1583.91,6000000,610706,1,0,11,2,4,66000,-46000,3,3,1,4,1,0,220,20,1,0,0,1,0,6500,1300,650,4550,0,31,2009,0,256,1,19.0,30094.29,23594.29,6,6,2,17,0,31,0,1
5,256,39,104594,2,1,1000,1351.1,0,478456,0,6,12,3,4,0,0,0,1,0,1,4,0,891,19,3,0,0,2,0,64100,6410,6410,51280,10,3,2003,1,3004,0,21.333333333333332,28823.466666666664,-35276.53333333334,10,12,1,2,10,3,0,0
6,137,34,413978,1,1,1000,1333.35,0,441716,1,6,9,2,0,0,-77000,0,0,1,3,1,6,539,0,3,1,0,0,1,78650,21450,7150,50050,9,29,2012,0,5336,1,11.416666666666666,15222.4125,-63427.5875,6,4,1,13,9,29,6,1
7,165,37,429027,0,0,1000,1137.03,0,603195,1,0,12,0,4,0,0,0,0,2,3,5,1,276,23,3,1,2,2,2,51590,9380,9380,32830,1,5,2015,0,9155,1,13.75,15634.1625,-35955.8375,2,3,2,27,1,5,1,2
8,27,33,485665,0,0,500,1442.99,0,601734,0,6,7,9,3,0,0,2,0,2,3,6,0,429,21,1,0,1,1,2,27700,2770,2770,22160,12,9,2012,0,6568,1,2.25,3246.7275,-24453.2725,2,5,1,30,12,9,0,2
9,212,42,636550,0,0,500,1315.68,0,600983,1,6,8,4,5,0,-39300,2,1,2,2,0,2,224,14,1,0,2,1,1,42300,4700,4700,32900,10,1,1996,0,1260,1,17.666666666666668,23243.68,-19056.32,7,25,1,5,10,1,2,2
10,235,42,543610,2,0,500,1253.12,4000000,462283,0,5,3,7,2,38400,0,2,0,2,3,1,3,61,22,1,2,2,2,1,87010,7910,15820,63280,5,14,2002,0,4608,1,19.583333333333332,24540.266666666666,-62469.73333333334,5,26,1,6,5,14,3,2
